lat,long,altitude,Dlat,Dlong,Daltitude,position,distance,direction,Dposition,slope,TMY_GridID,Horizon_GridID,timezone
45.49966,-73.52649,10.8,-5.999999999772854e-05,5.499999999969418e-05,-0.0500000000000007,2412.6414848676623,2412.738246022369,-0.8288490587728914,7.7000934708532895,-0.0064933364073639,182;-295,54600;-88232,America/Toronto
45.49975,-73.52659,10.7,-9.50000000017326e-05,8.500000000211116e-05,-0.1000000000000005,2425.325892026114,2425.4230473594566,-0.8408966686398858,12.006422128313488,-0.0083286833236769,182;-295,54600;-88232,America/Toronto
45.49983,-73.52668,10.6,-9.50000000017326e-05,8.500000000211116e-05,-0.0499999999999998,2436.654329124289,2436.751925816184,-0.8408966686398858,12.006414899251922,-0.0041644163873916,182;-295,54600;-88233,America/Toronto
45.49992,-73.52678,10.6,-0.000160000000001,0.000119999999999,-0.2000000000000001,2449.338721824618,2449.436318516513,-0.9272952180087176,18.30245725751047,-0.0109270595243477,182;-295,54600;-88233,America/Toronto
45.50007,-73.527,10.2,-0.0001150000000009,7.999999999697138e-05,-0.2000000000000001,2473.25924363931,2473.3601845060884,-0.9629943307026598,12.639204164870762,-0.015822460583397,183;-295,54601;-88233,America/Toronto
45.50008,-73.52701,10.2,-5.000000000165983e-05,2.999999999886427e-05,0.0,2474.6171301543595,2474.718071021138,-1.03037682655566,5.15421198910326,0.0,183;-295,54601;-88233,America/Toronto
45.50013,-73.5271,10.2,-9.000000000014552e-05,4.500000000007276e-05,0.0,2483.5676676175167,2483.668608484295,-1.1071487177940904,8.62810395860106,0.0,183;-295,54601;-88233,America/Toronto
45.50017,-73.52719,10.2,-9.999999999621424e-05,4.500000000007276e-05,0.0500000000000007,2491.8733380715616,2491.97427893834,-1.1479424006471837,9.261867540725008,0.0053984268358767,183;-295,54601;-88233,America/Toronto
45.50022,-73.5273,10.3,-0.0001199999999954,5.499999999969418e-05,0.0500000000000007,2502.0914026989667,2502.192832883484,-1.141034047685975,11.17462470859482,0.0044743933361064,183;-295,54601;-88233,America/Toronto
45.50028,-73.52743,10.3,-0.0001400000000018,7.000000000090267e-05,-0.1000000000000005,2514.2225874887517,2514.324017673269,-1.1071487177940904,13.410674840788031,-0.0074566080986602,183;-295,54601;-88233,America/Toronto
45.50036,-73.52758,10.1,-0.0001050000000049,6.000000000128125e-05,-0.1500000000000003,2528.9127523805428,2529.0155439570835,-1.051650212559305,10.571920993932508,-0.0141875762772909,183;-295,54601;-88234,America/Toronto
45.5004,-73.52764,10.0,-5.5000000003246896e-05,4.500000000007276e-05,-0.0999999999999996,2535.3664294766163,2535.469995758777,-0.8850668159167506,6.6215478850372165,-0.01510106099345,183;-295,54601;-88234,America/Toronto
45.50045,-73.52769,9.9,-7.999999999697138e-05,7.000000000090267e-05,-0.0999999999999996,2542.155848150617,2542.260150832917,-0.8519663271481202,9.983491604665003,-0.0100162007236368,183;-295,54601;-88234,America/Toronto
45.50054,-73.5278,9.8,-9.499999999462716e-05,8.499999999855845e-05,-0.0499999999999998,2555.3334126859463,2555.438094795568,-0.8408966686234886,12.020312280334563,-0.0041596017193352,183;-295,54601;-88234,America/Toronto
45.50062,-73.52788,9.8,-8.499999999855845e-05,9.999999999976694e-05,-0.0500000000000007,2566.1964727112863,2566.301154820908,-0.7044940642349988,12.968877446133092,-0.0038553646972774,183;-295,54601;-88234,America/Toronto
45.50074,-73.52797,9.7,-6.49999999993156e-05,0.0001150000000009,-0.2000000000000001,2581.2711675782125,2581.376181365857,-0.514451313050884,13.848581802419403,-0.0144409081019872,183;-295,54601;-88234,America/Toronto
45.50085,-73.52801,9.4,-3.999999999848569e-05,0.0001050000000013,-0.25,2593.893636316125,2594.0022146716738,-0.3639789564927599,12.085349586606071,-0.0206832535082221,183;-295,54602;-88234,America/Toronto
45.50095,-73.52805,9.2,-3.500000000400405e-05,0.0001050000000013,-0.1500000000000003,2605.4418667514246,2605.5521768441995,-0.321750554427094,12.000567110288102,-0.0124987583996748,183;-295,54602;-88234,America/Toronto
45.50106,-73.52808,9.1,-3.0000000002416986e-05,9.999999999976694e-05,-0.0999999999999996,2617.8947705367013,2618.005482135782,-0.2914567945006827,11.36497177690444,-0.0087987389107595,183;-295,54602;-88234,America/Toronto
45.50115,-73.52811,9.0,-1.4999999997655776e-05,4.999999999810712e-05,-0.0499999999999998,2628.171810305233,2628.2830084142206,-0.2914567944452734,5.694494517211524,-0.0087801849631211,183;-295,54602;-88234,America/Toronto
45.50116,-73.52811,9.0,0.0,5.999999999772854e-05,-0.0499999999999998,2629.2837595711244,2629.3949576801115,0.0,6.67169559817512,-0.0074942064140348,183;-295,54602;-88234,America/Toronto
45.50127,-73.52811,8.9,0.0,0.0001250000000005,0.0499999999999998,2641.515201501584,2641.6268083862883,0.0,13.899365830710394,0.0035972709069004,183;-295,54602;-88234,America/Toronto
45.50141,-73.52811,9.1,0.0,0.0001050000000013,0.1499999999999994,2657.082491232545,2657.1953828093915,0.0,11.6754672978675,0.0128467447289321,183;-295,54602;-88234,America/Toronto
45.50148,-73.52811,9.2,0.0,9.000000000014552e-05,0.2000000000000001,2664.8661360973188,2664.979670020236,0.0,10.00754339797004,0.0199822645724205,183;-295,54602;-88234,America/Toronto
45.50159,-73.52811,9.5,5.000000001587068e-06,0.0001350000000002,0.5,2677.0975780284853,2677.2147904412004,0.0370201158856101,15.01984599283469,0.033277000763885,183;-295,54602;-88234,America/Toronto
45.50175,-73.5281,10.2,5.000000001587068e-06,0.0001399999999982,0.5,2694.905828082988,2695.036792854052,0.0356991126910909,15.575820625780352,0.0320900177280392,183;-295,54603;-88234,America/Toronto
